ID,User,Date,Tweet
1338243377771536388,sophi3_louis3,2020-12-13 22:04:19,RT @_aidanflynn: I’m such a slut for cheese and crackers
1338243377767256064,mhla200,2020-12-13 22:04:19,Lawson and Harris my gosh why do we deserve this? #raidernation
1338243377767182336,layniez1,2020-12-13 22:04:19,"""We wouldn't still be here if it weren't for Trump,"" the family of viruses said on ""SNL."" 

Trump killed 290K.… https://t.co/0TaoReRPzh"
1338243377763135493,racheIIs,2020-12-13 22:04:19,IM CRYING https://t.co/3z9t3E3CLs
1338243377763127298,D3LIGHTFULBEE,2020-12-13 22:04:19,just got home and the first thing i do is eat bread
1338243377762975744,kuyu1214inori,2020-12-13 22:04:19,RT @pescaoasado: christmas cat practice https://t.co/0xlbKWvU9w
1338243377754681345,calliesarizonax,2020-12-13 22:04:19,@pculscns SO TRUE
1338243377746370562,iohannes62571,2020-12-13 22:04:19,"RT @MarkDice: I posted President Trump's speech on election fraud on Facebook 30 minutes ago, and the analytics show it's been populated in…"
1338243377746341888,baballe_galojie,2020-12-13 22:04:19,@amienullahie @pharteey_jajere @MubarakSambowal @Rilwan_Dee @m_phalalu @umgurai60 @aaahmadkafi @cypher_md… https://t.co/RIZ7W8g5f0
1338243377737981954,diegtristan8,2020-12-13 22:04:19,"@gkulkrshna @Orbinho 16th in a 22 team league, 4 points off relegation"
1338243377725382658,murmuresports,2020-12-13 22:04:19,"2-0'd @UWaterlooGG, GGS to them! One more fight for the 3X."
1338243377708609545,alameandawud,2020-12-13 22:04:19,RT @Bahaushee: Sokoto-Abuja is now N94k according to passenger. The flight on Friday that was scheduled for 1pm left late at 5. All this be…
1338243377708609544,maIikprint,2020-12-13 22:04:19,@marioknowIes *moans*
1338243377708605441,CalebSWilliams1,2020-12-13 22:04:19,Eating my words right now. Love it! https://t.co/hbaUSueEoI
1338243377708593153,OhDeerItsSeth,2020-12-13 22:04:19,"@Robyn_Rotten On a scale of 1 to 10 how cute is the cute boy? And, is it somebody on vore twitter?"
1338243377704267776,lxdybiird,2020-12-13 22:04:19,RT @toonblastgf: i think about this every day https://t.co/GMxaHRRFxZ
1338243377704235014,Simthedream,2020-12-13 22:04:19,@thefaithro 😭😭 every nigga I know that smoke ports live a stressful life lmao
1338243377704230912,PINKVITY,2020-12-13 22:04:19,"RT @jlduggs: HELP SAVE #PervisPayne FROM EXECUTION ON APRIL 9TH, 2021: A THREAD https://t.co/YD5NBUik8N"
1338243377696010240,dotsaur,2020-12-13 22:04:19,this made me laugh too much https://t.co/78wh1IOwmn
1338243377683427331,aminzulf1,2020-12-13 22:04:19,@DLRavenz WhT is
1338243377679257603,JoelChizaram,2020-12-13 22:04:19,"@AdegokeLeke @DONJAZZY Yeah, very good"
1338243377675051014,savannahlashay_,2020-12-13 22:04:19,RT @IndustryJudy: It be the cologne for meee😩 I love a man that smells good
1338243377675051009,2laxersm0m,2020-12-13 22:04:19,"RT @BerniceKing: Dear @DrBiden: My father was a non-medical doctor. And his work benefited humanity greatly. Yours does, too. https://t.co/…"
1338243377666666497,MjaySteven,2020-12-13 22:04:19,#NJUCHI all the way from lilongwe 😁
